preset,model,layout,transform,method,initial_mean,final_mean,sd_mean,initial_high,final_high,final_bad,final_middle,final_best16
bell,shared,quality,ranknormal,tailrl,0.5000000000000001,0.9862240757396683,0.0004764589277945727,0.0057925738750420844,0.9932294708904251,0.004609599429546286,0.002160929680028652,0.9999999999999537
bell,shared,quality,ranknormal,pkpo,0.5000000000000001,0.9395149789244028,0.00040072713718519303,0.0057925738750420844,0.9180275027152845,0.025341570606037384,0.056630926678678056,0.9999987665301738
bell,shared,quality,ranknormal,elite,0.5000000000000001,0.9707069462973891,0.0006504986892572074,0.0057925738750420844,0.9768435615620609,0.012003929789365918,0.01115250864857318,0.9999999996378143
bell,shared,quality,reciprocal,rloo,0.5000000000000001,0.4022695161861843,0.0008966869612515018,0.0057925738750420844,0.0046982426261302215,0.20278881288124181,0.792512944492628,0.7055551919114348
bell,shared,quality,reciprocal,grpo,0.5000000000000001,0.027993402080446456,0.0004666122016000304,0.0057925738750420844,0.002603620786926152,0.9944555623696982,0.0029408168433757765,0.1670967661734908
bell,shared,quality,reciprocal,maxrl,0.5000000000000001,0.9451653171644595,0.0003420633516390704,0.0057925738750420844,0.9152348678022134,0.011362986140803217,0.07340214605698336,0.9999935595694572
bell,shared,quality,reciprocal,tailrl,0.5000000000000001,0.061107309631563245,0.0003701442818926521,0.0057925738750420844,0.008082275952004251,0.9765142848396677,0.01540343920832835,0.3602719659741114
bell,shared,quality,reciprocal,pkpo,0.5000000000000001,0.2983668334006803,0.0055634066528212345,0.0057925738750420844,0.015692244534984152,0.5610892148400946,0.42321854062492137,0.7430095321610546
bell,shared,quality,reciprocal,elite,0.5000000000000001,0.02979187296047489,0.0003504414766971196,0.0057925738750420844,0.005099964023495816,0.9873648105349636,0.007535225441540688,0.23345180327611378
bell,shared,binary,identity,rloo,0.0057925738750420844,0.011801829561229313,0.0007391400518166899,0.0057925738750420844,0.011801829561229313,0.9881981704387708,0,0.17296453944719056
bell,shared,binary,identity,grpo,0.0057925738750420844,0.6681757949069417,0.07215671465913405,0.0057925738750420844,0.6681757949069417,0.3318242050930584,0,0.9999998576827389
bell,shared,binary,identity,maxrl,0.0057925738750420844,0.9152348678022134,0.0022320985501994555,0.0057925738750420844,0.9152348678022134,0.08476513219778659,0,0.9999999999999994
bell,shared,binary,identity,tailrl,0.0057925738750420844,0.9152348678022134,0.0022320985501995566,0.0057925738750420844,0.9152348678022134,0.08476513219778664,0,0.9999999999999988
bell,shared,binary,identity,pkpo,0.0057925738750420844,0.5105227030590097,0.04139408019060119,0.0057925738750420844,0.5105227030590097,0.48947729694099024,0,0.9999831655672637
bell,shared,binary,identity,elite,0.0057925738750420844,0.010889607615150251,0.0032584707491881857,0.0057925738750420844,0.010889607615150251,0.9891103923848495,0,0.1599731283642061
bell,shared,binary,log,rloo,0.0057925738750420844,0.011801829561229313,0.0007391400518166899,0.0057925738750420844,0.011801829561229313,0.9881981704387708,0,0.17296453944719056
bell,shared,binary,log,grpo,0.0057925738750420844,0.6681757949069417,0.07215671465913405,0.0057925738750420844,0.6681757949069417,0.3318242050930584,0,0.9999998576827389
bell,shared,binary,log,maxrl,0.0057925738750420844,0.9152348678022134,0.0022320985501994555,0.0057925738750420844,0.9152348678022134,0.08476513219778659,0,0.9999999999999994
bell,shared,binary,log,tailrl,0.0057925738750420844,0.9152348678022134,0.0022320985501995566,0.0057925738750420844,0.9152348678022134,0.08476513219778664,0,0.9999999999999988
bell,shared,binary,log,pkpo,0.0057925738750420844,0.5105227030590097,0.04139408019060119,0.0057925738750420844,0.5105227030590097,0.48947729694099024,0,0.9999831655672637
bell,shared,binary,log,elite,0.0057925738750420844,0.010889607615150251,0.0032584707491881857,0.0057925738750420844,0.010889607615150251,0.9891103923848495,0,0.1599731283642061
bell,shared,binary,square,rloo,0.0057925738750420844,0.011801829561229313,0.0007391400518166899,0.0057925738750420844,0.011801829561229313,0.9881981704387708,0,0.17296453944719056
bell,shared,binary,square,grpo,0.0057925738750420844,0.6681757949069417,0.07215671465913405,0.0057925738750420844,0.6681757949069417,0.3318242050930584,0,0.9999998576827389
bell,shared,binary,square,maxrl,0.0057925738750420844,0.9152348678022134,0.0022320985501994555,0.0057925738750420844,0.9152348678022134,0.08476513219778659,0,0.9999999999999994
bell,shared,binary,square,tailrl,0.0057925738750420844,0.9152348678022134,0.0022320985501995566,0.0057925738750420844,0.9152348678022134,0.08476513219778664,0,0.9999999999999988
bell,shared,binary,square,pkpo,0.0057925738750420844,0.5105227030590097,0.04139408019060119,0.0057925738750420844,0.5105227030590097,0.48947729694099024,0,0.9999831655672637
bell,shared,binary,square,elite,0.0057925738750420844,0.010889607615150251,0.0032584707491881857,0.0057925738750420844,0.010889607615150251,0.9891103923848495,0,0.1599731283642061
bell,shared,binary,ranknormal,rloo,0.0057925738750420844,0.03772202599344856,0.010512978387710615,0.0057925738750420844,0.03772202599344856,0.9622779740065512,0,0.45445022309139854
bell,shared,binary,ranknormal,grpo,0.0057925738750420844,0.6681758037782695,0.07215671392964025,0.0057925738750420844,0.6681758037782695,0.3318241962217305,0,0.9999998576827923
bell,shared,binary,ranknormal,maxrl,0.0057925738750420844,0.9152348678022134,0.0022320985501994555,0.0057925738750420844,0.9152348678022134,0.08476513219778659,0,0.9999999999999994
bell,shared,binary,ranknormal,tailrl,0.0057925738750420844,0.9545339501384076,0.0010234275306199817,0.0057925738750420844,0.9545339501384076,0.04546604986159247,0,1
bell,shared,binary,ranknormal,pkpo,0.0057925738750420844,0.6663788897818809,0.008223095578820215,0.0057925738750420844,0.6663788897818809,0.3336211102181192,0,0.9999999752794287
bell,shared,binary,ranknormal,elite,0.0057925738750420844,0.010889607615150251,0.0032584707491881857,0.0057925738750420844,0.010889607615150251,0.9891103923848495,0,0.1599731283642061
bell,shared,binary,reciprocal,rloo,0.0057925738750420844,0.0039368639173951595,0.00036781743275150666,0.0057925738750420844,0.0039368639173951595,0.9960631360826048,0,0.061153439746405525
bell,shared,binary,reciprocal,grpo,0.0057925738750420844,0.001821590211678403,0.0005533723113177655,0.0057925738750420844,0.001821590211678403,0.9981784097883216,0,0.02872672541066353
bell,shared,binary,reciprocal,maxrl,0.0057925738750420844,0.9152348678022134,0.0022320985501994555,0.0057925738750420844,0.9152348678022134,0.08476513219778659,0,0.9999999999999994
bell,shared,binary,reciprocal,tailrl,0.0057925738750420844,0.003925902363022737,0.00037062785104380325,0.0057925738750420844,0.003925902363022737,0.9960740976369773,0,0.060987958556393274
bell,shared,binary,reciprocal,pkpo,0.0057925738750420844,0.005792573875042086,0,0.0057925738750420844,0.005792573875042086,0.9942074261249583,0,0.08876153522934993
bell,shared,binary,reciprocal,elite,0.0057925738750420844,0.005683666609061703,0.0006524777771519387,0.0057925738750420844,0.005683666609061703,0.9943163333909384,0,0.08713170921336895
bell,shared,code,identity,rloo,0.2886918618691717,0.3600742800310699,0.0014779461542069527,0.0005143181739659886,0.0009254922413036415,0.04794655022067812,0.9511279575380183,0.6011649645384611
bell,shared,code,identity,grpo,0.2886918618691717,0.92900187212823,0.0022075559424364452,0.0005143181739659886,0.5683297509588476,0.00495759635537128,0.4267126526857811,0.9999998233181376
bell,shared,code,identity,maxrl,0.2886918618691717,0.42759309116426064,0.23918211483267754,0.0005143181739659886,0.06979044637752246,0.171884647108114,0.7583249065143637,0.6612380612984426
bell,shared,code,identity,tailrl,0.2886918618691717,0.8466769938912879,0.0060731556573205385,0.0005143181739659886,0.3201799413281062,0.014826396325050858,0.664993662346843,0.9997558736940482
bell,shared,code,identity,pkpo,0.2886918618691717,0.5497680378190212,0.010674019313027297,0.0005143181739659886,0.043609482837944254,0.07824387833883438,0.8781466388232214,0.9335201122674075
bell,shared,code,identity,elite,0.2886918618691717,0.6774225560716772,0.19312278588551773,0.0005143181739659886,0.1695389946110919,0.014379542528535065,0.8160814628603729,0.9312470917187058
